kommun,typ,helår totalt,helår /100000,januari total,januari /100000,februari totalt,februari /100000,mars totalt,mars /100000,april totalt,april /100000,maj totalt,maj /100000,juni totalt,juni /100000,juli totalt,juli /100000,augusti totalt,augusti /100000,september totalt,september /100000,oktober totalt,oktober /100000,november totalt,november /100000,december totalt,december /100000
Hela landet,Totalt antal brott,1394598,14594,110807,1160,97753,1023,106927,1119,112174,1174,125953,1318,120326,1259,121433,1271,124787,1306,125740,1316,127125,1330,118160,1237,103413,1082
Hela landet,Våldsbrott,104209,1091,8603,90,7684,80,8325,87,8111,85,9421,99,9076,95,8813,92,8640,90,8897,93,9136,96,8864,93,8639,90
Hela landet,Hot- kränknings- och frihetsbrott,165986,1737,14357,150,12743,133,13460,141,13352,140,15717,164,13391,140,14386,151,13918,146,13925,146,14255,149,13935,146,12547,131
Hela landet,Vårdslöshet- och vållandebrott,7428,78,537,6,465,5,659,7,733,8,815,9,625,7,619,6,648,7,640,7,594,6,559,6,534,6
Hela landet,Stöldbrott,524290,5487,36703,384,33230,348,36696,384,39858,417,46015,482,47686,499,51597,540,53111,556,50052,524,47551,498,42502,445,39289,411
Hela landet,Bilbrott,105125,1100,8023,84,6804,71,7555,79,8266,87,9165,96,9501,99,9907,104,10282,108,9623,101,9643,101,8441,88,7915,83
Hela landet,Skadegörelsebrott,142871,1495,10944,115,8818,92,9498,99,11605,121,13370,140,11695,122,12451,130,13382,140,14371,150,14439,151,12195,128,10103,106
Hela landet,Vissa trafikbrott,72931,763,5708,60,5011,52,5424,57,6301,66,6540,68,6302,66,5611,59,6155,64,6544,68,7113,74,6473,68,5749,60
Hela landet,Alkohol- och narkotikabrott,131972,1381,12124,127,10360,108,11997,126,12095,127,13536,142,10516,110,7785,81,9647,101,10862,114,12944,135,10857,114,9249,97
Hela landet,Vapenbrott,12057,126,1067,11,1021,11,1056,11,969,10,1038,11,866,9,837,9,959,10,1086,11,1166,12,1067,11,925,10
Karlshamn,Totalt antal brott,2905,9331,261,838,211,678,205,658,184,591,215,691,247,793,326,1047,273,877,273,877,259,832,244,784,207,665
Karlshamn,Våldsbrott,223,716,23,74,21,67,11,35,19,61,18,58,17,55,25,80,17,55,16,51,12,39,17,55,27,87
Karlshamn,Hot- kränknings- och frihetsbrott,424,1362,34,109,25,80,34,109,34,109,27,87,46,148,46,148,41,132,29,93,46,148,37,119,25,80
Karlshamn,Vårdslöshet- och vållandebrott,17,55,1,3,3,10,1,3,1,3,2,6,1,3,3,10,2,6,1,3,0,0,1,3,1,3
Karlshamn,Stöldbrott,1283,4121,95,305,91,292,95,305,55,177,86,276,129,414,164,527,135,434,136,437,121,389,103,331,73,234
Karlshamn,Bilbrott,275,883,24,77,13,42,15,48,15,48,20,64,23,74,39,125,27,87,28,90,15,48,33,106,23,74
Karlshamn,Skadegörelsebrott,370,1188,30,96,17,55,16,51,39,125,38,122,22,71,46,148,34,109,37,119,22,71,39,125,30,96
Karlshamn,Vissa trafikbrott,155,498,12,39,14,45,11,35,10,32,10,32,4,13,5,16,8,26,13,42,21,67,22,71,25,80
Karlshamn,Alkohol- och narkotikabrott,222,713,41,132,33,106,15,48,13,42,14,45,7,22,21,67,16,51,16,51,15,48,10,32,21,67
Karlshamn,Vapenbrott,28,90,4,13,2,6,2,6,1,3,4,13,2,6,2,6,4,13,1,3,4,13,1,3,1,3
Karlskrona,Totalt antal brott,6382,10020,419,658,796,1250,388,609,445,699,524,823,538,845,503,790,687,1079,572,898,527,827,529,831,454,713
Karlskrona,Våldsbrott,469,736,36,57,34,53,35,55,29,46,42,66,49,77,37,58,37,58,51,80,37,58,41,64,41,64
Karlskrona,Hot- kränknings- och frihetsbrott,731,1148,50,79,48,75,52,82,56,88,60,94,57,89,58,91,68,107,82,129,79,124,58,91,63,99
Karlskrona,Vårdslöshet- och vållandebrott,31,49,2,3,2,3,3,5,3,5,1,2,3,5,2,3,4,6,2,3,3,5,4,6,2,3
Karlskrona,Stöldbrott,2324,3649,151,237,120,188,132,207,124,195,234,367,260,408,248,389,259,407,204,320,225,353,219,344,148,232
Karlskrona,Bilbrott,691,1085,28,44,21,33,35,55,57,89,64,100,64,100,64,100,198,311,49,77,39,61,47,74,25,39
Karlskrona,Skadegörelsebrott,789,1239,37,58,30,47,48,75,78,122,59,93,41,64,58,91,199,312,71,111,45,71,65,102,58,91
Karlskrona,Vissa trafikbrott,435,683,41,64,20,31,25,39,34,53,33,52,28,44,29,46,39,61,59,93,35,55,46,72,46,72
